url,address,year_built,condition,wear_percent,lat,lon
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/822851,"ул. 1-я Перевозная, 120, Астрахань, Астраханская область",1995,Исправный,15,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/671790,"ул. 1-я Перевозная, 129, Астрахань, Астраханская область",1967,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1149042,"ул. 1-я Перевозная, 131б, Астрахань, Астраханская область",2018,Исправный,3,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1081886,"ул. 1-я Перевозная, 131, Астрахань, Астраханская область",1968,Аварийный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/698352,"ул. 1-я Перевозная, 133, Астрахань, Астраханская область",1977,Исправный,10,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/816340,"ул. 1-я Перевозная, 135, Астрахань, Астраханская область",1968,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1372015,"ул. 1-я Рыбацкая, 19, Астрахань, Астраханская область",,Исправный,,46.3975289,48.5496174
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/600220,"ул. 11-й Красной Армии, 1, Астрахань, Астраханская область",1980,Исправный,40,46.3589268,48.0759379
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1102174,"ул. 11-й Красной Армии, 2 корпус 1, Астрахань, Астраханская область",1995,Исправный,,46.3590977,48.0799835
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/582892,"ул. 11-й Красной Армии, 4, Астрахань, Астраханская область",1984,Исправный,70,46.3590492,48.082287
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1122435,"ул. 11-й Красной Армии, 4 корпус 2, Астрахань, Астраханская область",1990,Исправный,32,46.3590977,48.0799835
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1122434,"ул. 11-й Красной Армии, 4 корпус 1, Астрахань, Астраханская область",1988,Исправный,,46.3590977,48.0799835
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/769650,"ул. 11-й Красной Армии, 5, Астрахань, Астраханская область",1978,Исправный,60,46.3595024,48.0784009
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1118244,"ул. 11-й Красной Армии, 6 корпус 1, Астрахань, Астраханская область",1984,Исправный,32,46.3590977,48.0799835
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/512360,"ул. 11-й Красной Армии, 6, Астрахань, Астраханская область",1981,Исправный,28,46.3592424,48.0839551
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/656045,"ул. 11-й Красной Армии, 7, Астрахань, Астраханская область",1976,Исправный,,46.359122,48.0787027
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/512362,"ул. 11-й Красной Армии, 8, Астрахань, Астраханская область",1987,Исправный,5,46.3582411,48.0837812
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/656046,"ул. 11-й Красной Армии, 9, Астрахань, Астраханская область",1974,Исправный,,46.3597592,48.0811556
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1205935,"ул. 11-й Красной Армии, 10, Астрахань, Астраханская область",1991,Исправный,31,46.3578384,48.0837028
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1187433,"ул. 11-й Красной Армии, 11 корпус 1, Астрахань, Астраханская область",1982,Исправный,,46.3590977,48.0799835
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1205936,"ул. 11-й Красной Армии, 13 корпус 1, Астрахань, Астраханская область",1988,Исправный,28,46.3590977,48.0799835
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1141206,"ул. 11-й Красной Армии, 15, Астрахань, Астраханская область",1987,Исправный,,46.360344,48.084023
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1205937,"ул. 11-й Красной Армии, 15 корпус 1, Астрахань, Астраханская область",1986,Исправный,30,46.3590977,48.0799835
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1205938,"ул. 11-й Красной Армии, 15 корпус 2, Астрахань, Астраханская область",1989,Исправный,27,46.3590977,48.0799835
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1312611,"пр-д. 2-й Нефтяников, 22А, Астрахань, Астраханская область",1967,Аварийный,,46.4055583,48.0729952
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1042544,"пр-д. 2-й Нефтяников, 30, Астрахань, Астраханская область",1962,Аварийный,,46.4055583,48.0729952
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1219436,"пр-д. 2-й Нефтяников, 36, Астрахань, Астраханская область",1962,Аварийный,,46.4055583,48.0729952
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1252542,"пр-д. 2-й Нефтяников, 38, Астрахань, Астраханская область",1905,Исправный,,46.4055583,48.0729952
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1268778,"пр-д. 2-й Нефтяников, 42, Астрахань, Астраханская область",1955,Аварийный,,46.4055583,48.0729952
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1044470,"пр-д. 2-й Нефтяников, 44, Астрахань, Астраханская область",1956,Аварийный,,46.4055583,48.0729952
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1042448,"пр-д. 2-й Нефтяников, 46, Астрахань, Астраханская область",1958,Аварийный,,46.4055583,48.0729952
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1042450,"пр-д. 2-й Нефтяников, 48, Астрахань, Астраханская область",1956,Аварийный,,46.4055583,48.0729952
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1182795,"2-й Садовый пер., 4, Астрахань, Астраханская область",1997,Исправный,,46.3648025,47.9918647
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1335022,"ул. 2-я Бондарная, 4, Астрахань, Астраханская область",1961,Аварийный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/631215,"ул. 2-я Дербентская, 34, Астрахань, Астраханская область",2000,Аварийный,14,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1043359,"ул. 2-я Дорожная, 34, Астрахань, Астраханская область",1917,Аварийный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1197981,"ул. 2-я Зеленгинская, 1 корпус 3, Астрахань, Астраханская область",2008,Исправный,2,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1145693,"ул. 2-я Зеленгинская, 1 корпус 1, Астрахань, Астраханская область",2006,Исправный,2,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1197980,"ул. 2-я Зеленгинская, 1 корпус 2, Астрахань, Астраханская область",2008,Исправный,2,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1087361,"ул. 2-я Зеленгинская, 1, Астрахань, Астраханская область",2006,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1120644,"ул. 2-я Зеленгинская, 1 корпус 4, Астрахань, Астраханская область",2011,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1102177,"ул. 2-я Зеленгинская, 3 корпус 3, Астрахань, Астраханская область",2008,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1102176,"ул. 2-я Зеленгинская, 3 корпус 1, Астрахань, Астраханская область",2007,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1100538,"ул. 2-я Зеленгинская, 3 корпус 2, Астрахань, Астраханская область",2007,Исправный,2,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/656274,"ул. 2-я Зеленгинская, 3, Астрахань, Астраханская область",2006,Исправный,2,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1100539,"ул. 2-я Зеленгинская, 3 корпус 4, Астрахань, Астраханская область",2007,Исправный,3,,
